Comunidad Autónoma,ID,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta
Andalucía,1.0,0.8173679563070281,0.01486934624063839,0.20592209830918667,0.0028014520718186876,0.026022173529123203,0.02257383000294339,0.03597606043758381,0.28362821728750365,0.08737155378225464,0.04565588514242732,0.0025731759165385747,0.007572358308532557,0.021951793831965206,5.690551721882461e-05,0.0024338555123131766,0.002421427870621709,0.024198580632501555,0.03133924191385683,8046578.947368421,16465.736842105263
Aragón,2.0,1.0391360937118685,0.01576100219637192,0.2791466688359229,0.003859920279834052,0.03430000813471081,0.04437078011876677,0.05065891157569349,0.3290124461075409,0.1098430000813471,0.05430326201903522,0.0027535996095338806,0.0179573741153502,0.03011876677784105,4.4740909460668675e-05,0.0017326934027495325,0.002045879768974213,0.026189701456113233,0.037037338322622626,1294000.0,23572.157894736843
Asturias,3.0,1.204615002483855,0.017163437655240935,0.3329061102831595,0.0040784898161947344,0.03662195727769498,0.06266766020864381,0.054157973174366617,0.3975409836065574,0.1315350223546945,0.056045702930948835,0.003492300049677099,0.012146050670640833,0.028693492300049674,4.967709885742672e-05,0.001624441132637854,0.002235469448584203,0.015678092399403876,0.047978142076502736,1059473.6842105263,19345.526315789473
Baleares,4.0,0.7394665576618465,0.014220019416483572,0.19936640948341935,0.002932910939655613,0.02490419498237188,0.029635685452966118,0.03765775892902764,0.2357774257830463,0.07321547187164683,0.036835113177660826,0.0023146492258954575,0.0077461550252925235,0.023212917071176738,4.087680752133258e-05,0.002222676408972459,0.0013847018547851412,0.015809105308875377,0.032190485923049406,1030052.6315789474,24136.157894736843
Canarias,5.0,0.6809307030854831,0.013997817000772038,0.192953172004366,0.002715438064052392,0.04562202167026063,0.022570082261800174,0.0271836647765088,0.19712216809094052,0.07174080877459202,0.03233501051566701,0.0029284135984878733,0.005500093176796316,0.017285626813619785,3.7270718526209296e-05,0.001996645635332641,0.002356041849692517,0.013268375795330512,0.031318052338737586,1977000.0,19151.263157894737
Cantabria,6.0,0.9805078485687904,0.01932594644506002,0.27926131117266856,0.0029916897506925212,0.021071098799630657,0.054506001846722066,0.04269621421975993,0.29168975069252073,0.11904893813481071,0.04394275161588181,0.0039242843951985225,0.00824561403508772,0.024349030470914128,3.693444136657433e-05,0.0013204062788550325,0.0014219759926131117,0.029501385041551247,0.03717451523545706,570000.0,20354.473684210527
Castilla La Mancha,8.0,0.9231491108800555,0.013871337545655713,0.23320003199232184,0.0036977791996587487,0.03380788610733424,0.03553813751366339,0.043053667119891226,0.2848889599829375,0.11953931056546431,0.047519262043776156,0.0036497907168946122,0.010930709962942226,0.026311018688848012,2.666026820229811e-05,0.001514303233890533,0.0019302034178463837,0.027241462049108215,0.03642859047162014,1974157.894736842,17332.157894736843
Castilla y León,7.0,1.0997546583194093,0.019627334447240963,0.3087371248493052,0.00499354920581206,0.0380808358537256,0.03726444026141579,0.048971045451661345,0.34226221949620356,0.12855692561494045,0.054379137497091855,0.004475370656288996,0.013709523910238785,0.030803071001036353,2.9610202829889385e-05,0.0012690086927095452,0.001873902836234428,0.0231636386709249,0.04155791967174975,2488473.6842105263,20240.36842105263
Cataluña,9.0,0.8508677804718072,0.01535547678180572,0.2339462455137039,0.003948677509930652,0.02773433757581564,0.04869961898725781,0.051017385088178296,0.2484873720438349,0.08906117575963034,0.04164756689832045,0.001857897723504138,0.008117708617373298,0.02251881112232941,3.390055346338372e-05,0.0016198568807069005,0.0017812529939347488,0.01729812588896832,0.03774237053304935,7141631.578947368,25884.78947368421
Euskadi,16.0,0.9193610129564193,0.01672555948174323,0.2756380054966628,0.0038869257950530037,0.027267373380447588,0.047806242638398125,0.05103553199842952,0.2671598939929329,0.09066548881036514,0.044827247742442095,0.002012171181782489,0.00906458578720063,0.01998429524931292,1.4723203769140167e-05,0.0014870435806831567,0.0019704554377699256,0.02539507263447193,0.03442039654495486,2144842.1052631577,27699.736842105263
Extremadura,11.0,1.007136246285742,0.016883433192069756,0.273077110429149,0.003253933459983438,0.030737006186370503,0.026182473573968534,0.04043061035608164,0.3260119830483706,0.12404403526718301,0.05171708315066492,0.0028983389351648885,0.01068244921817916,0.028666764089824152,1.9484631496906815e-05,0.0018169418870865608,0.0019971747284329485,0.03891568025719714,0.029801743874518973,1080473.6842105263,15068.368421052632
Galicia,12.0,1.10101374139958,0.01709869524158267,0.29774702719370943,0.003551949428565922,0.02520091737814867,0.052221172933490094,0.04361400736215237,0.3660916992695666,0.13232794341549908,0.050290053385241014,0.00430551005068707,0.007094262532040782,0.026262840403183843,1.3490855127488579e-05,0.0012392314067107368,0.0016670842407539462,0.025948696205215182,0.04633916009790506,2730894.736842105,18816.57894736842
La Rioja,17.0,0.9288471480268827,0.013027744270205067,0.2576253661899018,0.0036360503188006205,0.027416853351714635,0.036584525245562646,0.059848354299500264,0.3,0.09460623815267966,0.044769946579355506,0.00244701016715492,0.010063760124073756,0.020075822850249874,5.169739789763916e-05,0.002085128381871446,0.002067895915905566,0.01466482853696364,0.03987592624504566,305421.05263157893,23613.78947368421
Madrid,13.0,0.685498274115162,0.013160515876423211,0.19871202624031875,0.0023733063145060197,0.015345778022015765,0.02016881042743556,0.02999862616132301,0.18959231337260227,0.09847847366522987,0.03448506809087943,0.002156068073706445,0.0048264670021122775,0.02028129346911439,2.4042176847383693e-05,0.001792859473476327,0.0018306400370936445,0.030088784324500698,0.022183201387577064,6129578.947368421,29450.894736842107
Murcia,14.0,0.7367550927333535,0.012731833384007298,0.18990954697476436,0.002489358467619337,0.024414715719063545,0.021799939191243536,0.03678929765886287,0.2371009425357251,0.09119793250228034,0.03792946184250532,0.0026223776223776225,0.005936454849498328,0.026790057768318633,2.6603830951657037e-05,0.0026831863788385523,0.0027515962298570993,0.010105655214350865,0.031476132563089086,1384842.105263158,18208.526315789473
NACIONAL,0.0,0.868590539009521,0.01537217435769928,0.2350866370018695,0.0033565241051888373,0.02764467452775973,0.03435396967998142,0.042013257677936004,0.27279220489821,0.09864057196606296,0.04365146756302206,0.002764010048813213,0.008270567345110115,0.023542581963271636,3.4363938740708244e-05,0.001850374953966396,0.0020277069518365356,0.022568663371794362,0.03462078865825825,44875684.21052632,21843.42105263158
Navarra,15.0,0.8628930817610063,0.012785388127853882,0.24345653484965968,0.0032049625226156626,0.026509864736796757,0.03454811751529249,0.05478590505729301,0.2555096062720772,0.10036185060739208,0.04351684328422504,0.0034978892047902127,0.010545360558283794,0.02011717067286982,8.615490652192642e-06,0.0011717067286981992,0.002102179719135005,0.011958301025243388,0.03881278538812786,610894.7368421053,26968.473684210527
Valencia,10.0,0.8555117062788223,0.015560704150407946,0.2272104469670096,0.0035318375310393756,0.029280108194395176,0.032922800638524305,0.04614224902447677,0.2816900940049663,0.09037557644554806,0.041888746009223134,0.003061812699538844,0.007868481731110323,0.024939029797800636,2.771372827243704e-05,0.0017603760198652003,0.0018313231642426394,0.016560615466477475,0.030859790705924088,4747789.47368421,19593.842105263157
