ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta
0,NACIONAL,2018-01-01,0.9153223908065656,0.01369171178497293,0.24120781527531085,0.004164437501337499,0.028815082710950374,0.04788461126923324,0.05623702625778425,0.2586381048171371,0.11489011106593336,0.04641443215134071,0.003907637655417407,0.01113869331678401,0.02983372209976674,1.4979991012005392e-05,0.0013481991910804852,0.0018040189175886493,0.02158830704701577,0.03374349975390015,46729000,25727
1,Andalucía,2018-01-01,0.8661194384963121,0.013990007137758744,0.217237687366167,0.003533190578158458,0.026980728051391862,0.02911015940994528,0.05021413276231263,0.2701165833928147,0.09963121579823934,0.047918153699738286,0.003616464430168927,0.010492505353319057,0.02807518439210088,1.1896264572924102e-05,0.0016892695693552224,0.0017606471567927673,0.03222698072805139,0.029514632405424696,8406000,19107
2,Aragón,2018-01-01,1.0722433460076044,0.01817490494296578,0.27452471482889734,0.0033460076045627378,0.034068441064638785,0.054980988593155894,0.06980988593155893,0.3263878326996198,0.1226615969581749,0.057338403041825095,0.002129277566539924,0.02220532319391635,0.0379467680608365,0.0,0.001064638783269962,0.001977186311787072,0.007984790874524715,0.0376425855513308,1315000,28151
3,Asturias,2018-01-01,1.2927734375,0.02099609375,0.35556640625,0.005078125,0.040234374999999996,0.0765625,0.06533203125,0.3791015625,0.15742187500000002,0.0591796875,0.005078125,0.01748046875,0.0439453125,0.0,0.0008789062499999999,0.0021484374999999997,0.014941406249999999,0.048828125,1024000,22789
4,Baleares,2018-01-01,0.6983829787234043,0.013531914893617021,0.19548936170212766,0.0028936170212765957,0.026127659574468085,0.03446808510638298,0.04834042553191489,0.19668085106382976,0.07395744680851064,0.035659574468085105,0.002553191489361702,0.007489361702127659,0.023744680851063828,0.0,0.0011914893617021277,0.0009361702127659574,0.006638297872340426,0.028680851063829785,1175000,27682
5,Canarias,2018-01-01,0.7454296160877514,0.011882998171846435,0.20639853747714806,0.0022394881170018283,0.026416819012797077,0.0329981718464351,0.03404936014625228,0.21243144424131624,0.10475319926873858,0.03756855575868373,0.00443327239488117,0.005255941499085923,0.02317184643510055,0.0,0.00196526508226691,0.0017824497257769652,0.010786106032906764,0.029296160877513713,2188000,20892
6,Cantabria,2018-01-01,1.0510344827586207,0.011034482758620689,0.2943103448275862,0.004310344827586207,0.025,0.09482758620689655,0.06586206896551725,0.27413793103448275,0.13448275862068967,0.04603448275862069,0.0029310344827586207,0.01413793103448276,0.02517241379310345,0.0,0.0010344827586206897,0.0022413793103448275,0.02224137931034483,0.03327586206896552,580000,23757
7,Castilla y León,2018-01-01,1.215643153526971,0.016639004149377593,0.3229045643153527,0.006804979253112033,0.04497925311203319,0.05452282157676348,0.06485477178423237,0.34182572614107887,0.16195020746887967,0.06531120331950208,0.007551867219917012,0.017219917012448134,0.042448132780082984,8.298755186721991e-05,0.000954356846473029,0.0016182572614107883,0.01929460580912863,0.046680497925311204,2410000,24031
8,Castilla La Mancha,2018-01-01,0.9642364532019705,0.011034482758620689,0.24280788177339901,0.005665024630541872,0.031330049261083744,0.05073891625615763,0.05615763546798029,0.26201970443349754,0.13970443349753695,0.052561576354679805,0.005665024630541872,0.011724137931034483,0.03605911330049261,0.0,0.0009852216748768472,0.001625615763546798,0.02137931034482759,0.03477832512315271,2030000,20363
9,Cataluña,2018-01-01,0.8856040447046302,0.013956891963810537,0.23491218733368813,0.003938265034592868,0.030095795635976582,0.05967269824374668,0.06210750399148483,0.23064129856306548,0.10553485896753594,0.043893028206492817,0.0028605641298563066,0.014874933475252794,0.027900478978179884,0.0,0.0012240553485896753,0.0017429483767961683,0.014063331559340076,0.038185204896221396,7516000,30426
10,Valencia,2018-01-01,0.9161277283751011,0.015501212611156022,0.2356911883589329,0.0045270816491511726,0.03563055780113177,0.04096604688763136,0.06459175424413904,0.26305578011317704,0.11174211802748586,0.04322958771220695,0.0037590945836701696,0.010044462409054163,0.0316895715440582,0.0,0.0011721907841552143,0.0014955537590945836,0.023241713823767177,0.02978981406628941,4948000,22426
11,Extremadura,2018-01-01,1.0731958762886598,0.01527647610121837,0.2895032802249297,0.004217432052483599,0.0302717900656045,0.052389878163074034,0.06176194939081536,0.30927835051546393,0.14179943767572634,0.052577319587628873,0.004592314901593252,0.012933458294283037,0.036269915651358946,0.0,0.0017806935332708527,0.0022492970946579195,0.030459231490159326,0.027835051546391754,1067000,18769
12,Galicia,2018-01-01,1.2011485735457577,0.013041867358280845,0.31293071507965914,0.005928121526491293,0.02489811041126343,0.09329381252315672,0.0628380881808077,0.35761393108558726,0.1571693219711004,0.057910337161911817,0.005557613931085587,0.007521304186735828,0.035198221563542055,7.410151908114116e-05,0.0010003705075954056,0.0020748425342719526,0.020785476102260097,0.04331233790292701,2699000,23183
13,Madrid,2018-01-01,0.7075463103552991,0.010066808381415123,0.19726692985119954,0.0032645004555116913,0.016884300030367446,0.033540844215001524,0.04073792894017613,0.17711812936532037,0.10501062860613422,0.03587913756453082,0.003279684178560583,0.006665654418463407,0.02330701488004859,0.0,0.0013058001822046767,0.0015183723048891589,0.028241724870938352,0.023458852110537505,6586000,35041
14,Murcia,2018-01-01,0.7658553076402975,0.011899932386747802,0.18945233265720082,0.003786342123056119,0.02684246112237999,0.030764029749830966,0.05780933062880325,0.21730899256254227,0.10561189993238676,0.04050033806626099,0.0050033806626098715,0.007775524002704529,0.033603786342123056,0.0,0.001352265043948614,0.002028397565922921,0.005679513184584178,0.026436781609195405,1479000,21269
15,Navarra,2018-01-01,0.9007739938080496,0.009752321981424148,0.24086687306501547,0.004798761609907121,0.02724458204334365,0.060061919504643964,0.08405572755417957,0.2390092879256966,0.10479876160990713,0.042105263157894736,0.004798761609907121,0.01130030959752322,0.026625386996904025,0.0,0.0012383900928792568,0.0023219814241486067,0.0024767801857585136,0.03931888544891641,646000,31389
16,Euskadi,2018-01-01,1.0019797421731123,0.014318600368324125,0.29277163904235726,0.005202578268876611,0.03029465930018416,0.07021178637200737,0.06629834254143646,0.26671270718232043,0.10718232044198894,0.0464548802946593,0.002578268876611418,0.01220073664825046,0.026979742173112338,4.604051565377533e-05,0.0011970534069981585,0.0023480662983425414,0.02334254143646409,0.03383977900552486,2172000,33223
17,La Rioja,2018-01-01,1.0272435897435899,0.015384615384615385,0.27211538461538465,0.004487179487179488,0.035256410256410256,0.058012820512820515,0.07307692307692308,0.3157051282051282,0.1169871794871795,0.04871794871794872,0.004807692307692308,0.011217948717948718,0.02692307692307692,0.0,0.001282051282051282,0.0019230769230769232,0.008333333333333333,0.033012820512820513,312000,27225
18,Ceuta,2018-01-01,0.6369047619047619,0.008333333333333333,0.1607142857142857,0.0035714285714285718,0.02619047619047619,0.028571428571428574,0.04285714285714286,0.1738095238095238,0.0630952380952381,0.03214285714285714,0.002380952380952381,0.0071428571428571435,0.02738095238095238,0.0,0.0011904761904761906,0.0,0.03214285714285714,0.02738095238095238,84000,20120
19,Melilla,2018-01-01,0.6142857142857142,0.013095238095238096,0.1619047619047619,0.0035714285714285718,0.039285714285714285,0.016666666666666666,0.03214285714285714,0.15952380952380954,0.06904761904761905,0.03333333333333333,0.0035714285714285718,0.005952380952380952,0.01904761904761905,0.0011904761904761906,0.004761904761904762,0.008333333333333333,0.02619047619047619,0.016666666666666666,84000,18533
0,NACIONAL,2017-01-01,0.9123248517149488,0.014654431359064728,0.24341528410556176,0.00424009283933637,0.028573884638528328,0.04668185334823347,0.0566169517751225,0.2631844751998625,0.11092366543453966,0.043941803490071346,0.003634058282472277,0.010895727671279979,0.02834178629760165,2.7937763259692252e-05,0.0013517579300266482,0.0017493337917991918,0.020057164961746754,0.034034642826442016,46532000,24969
1,Andalucía,2017-01-01,0.8478219471554391,0.014817900499880982,0.21580576053320638,0.003844322780290407,0.02642228040942633,0.027671982861223517,0.04751249702451797,0.2726374672696977,0.09344203761009283,0.04590573672935016,0.003142109021661509,0.010378481313972863,0.02657700547488693,0.0,0.0015710545108307545,0.0019400142823137348,0.02696976910259462,0.029183527731492503,8402000,18501
2,Aragón,2017-01-01,1.0804562737642587,0.014220532319391636,0.2919391634980989,0.003041825095057034,0.03718631178707225,0.05695817490494297,0.068212927756654,0.32783269961977185,0.12479087452471484,0.05566539923954372,0.001596958174904943,0.024106463878326996,0.03163498098859315,7.604562737642586e-05,0.0012167300380228137,0.001520912547528517,0.004182509505703422,0.03627376425855513,1315000,27115
3,Asturias,2017-01-01,1.276893203883495,0.015728155339805826,0.3520388349514563,0.005533980582524272,0.033689320388349514,0.07194174757281553,0.06873786407766991,0.38543689320388347,0.1533009708737864,0.05932038834951456,0.005339805825242718,0.017669902912621358,0.03475728155339806,0.0,0.0013592233009708738,0.001941747572815534,0.016796116504854366,0.05330097087378641,1030000,21981
4,Baleares,2017-01-01,0.7213298791018998,0.01606217616580311,0.19913644214162352,0.002849740932642487,0.030656303972366145,0.03246977547495682,0.04758203799654577,0.20647668393782384,0.07262521588946459,0.031606217616580314,0.0038860103626943,0.008290155440414507,0.02530224525043178,0.0,0.002158894645941278,0.00025906735751295336,0.009412780656303972,0.03255613126079447,1158000,27134
5,Canarias,2017-01-01,0.7052242256125751,0.01345353675450763,0.20374479889042996,0.0031437817845584837,0.02662968099861304,0.026814609338881187,0.03559870550161812,0.19634766527970413,0.09292649098474341,0.032362459546925564,0.00425335182616736,0.005177993527508091,0.021451687471104947,4.623208506703652e-05,0.0014794267221451686,0.001664355062413315,0.011650485436893204,0.0284789644012945,2163000,20457
6,Cantabria,2017-01-01,1.0272413793103448,0.011551724137931036,0.29017241379310343,0.0029310344827586207,0.016379310344827588,0.1006896551724138,0.06517241379310344,0.28206896551724137,0.1296551724137931,0.037586206896551726,0.0022413793103448275,0.013965517241379309,0.02586206896551724,0.00017241379310344826,0.0008620689655172414,0.001896551724137931,0.015517241379310346,0.030517241379310344,580000,22767
7,Castilla y León,2017-01-01,1.1959966983078827,0.019768881551795296,0.31960379694593477,0.005777961205117623,0.042715641766405285,0.05092860090796533,0.06851011143210894,0.3496904663640115,0.15596368138671068,0.05790342550557161,0.006974824597606273,0.015394139496491951,0.03858852661989269,0.0,0.0013206768468840282,0.0016095749071399093,0.018283120099050764,0.04296326867519604,2423000,23169
8,Castilla La Mancha,2017-01-01,0.9939990162321691,0.00895228726020659,0.24333497294638465,0.005459911460895229,0.036251844564682736,0.05277914412198722,0.0588293162813576,0.2703393999016232,0.14845056566650272,0.05459911460895229,0.005164781111657649,0.011657648794884406,0.03502213477619282,0.0,0.0013772749631087062,0.001967535661583866,0.021839645843580915,0.03797343826856862,2033000,19632
9,Cataluña,2017-01-01,0.8881208053691275,0.013892617449664428,0.23558389261744966,0.0044563758389261745,0.031691275167785235,0.06394630872483222,0.06736912751677852,0.23442953020134227,0.0997986577181208,0.041234899328859057,0.0022416107382550333,0.013127516778523491,0.02726174496644295,5.3691275167785237e-05,0.001261744966442953,0.0013825503355704698,0.012308724832214764,0.03808053691275168,7450000,29722
10,Valencia,2017-01-01,0.9089876242645567,0.016433353621424222,0.2389531345100426,0.004361939541489146,0.03120308378981538,0.03958206532765267,0.06400892675999188,0.2740312436599716,0.09894501927368633,0.04144856968959221,0.0037532968147697306,0.009941164536417123,0.03045242442686143,2.028809089064719e-05,0.0012984378170014202,0.0017041996348143638,0.022884966524650028,0.0299655102454859,4929000,21859
11,Extremadura,2017-01-01,1.0796831314072692,0.014725069897483692,0.2835973904939422,0.0032618825722273994,0.02777260018639329,0.04212488350419385,0.05591798695246971,0.3199440820130475,0.15563839701770735,0.055638397017707356,0.004193849021435228,0.01015843429636533,0.04203168685927307,0.0,0.0015843429636533083,0.0008387698042870458,0.03196644920782852,0.030288909599254423,1073000,18170
12,Galicia,2017-01-01,1.1824639289678136,0.01601923788383278,0.3215686274509804,0.006918238993710691,0.028042915279319278,0.08479467258601554,0.05715871254162042,0.3580096189419164,0.1471698113207547,0.054495005549389575,0.005216426193118758,0.007547169811320755,0.03337032926378099,0.0,0.0007029226785053644,0.0021827598964113946,0.016426193118756937,0.042841287458379576,2703000,22411
13,Madrid,2017-01-01,0.7236931119311193,0.012853628536285362,0.20382841328413281,0.003121156211562116,0.017266297662976632,0.03234932349323493,0.04266605166051661,0.182380073800738,0.1077490774907749,0.03391758917589176,0.0035209102091020906,0.006257687576875769,0.023247232472324724,4.6125461254612545e-05,0.001260762607626076,0.0013068880688806887,0.027506150061500617,0.024415744157441577,6504000,34041
14,Murcia,2017-01-01,0.7822131704005432,0.011676849966055667,0.20081466395112016,0.003054989816700611,0.028988458927359132,0.03170400543109301,0.05403937542430414,0.22939579090291923,0.10366598778004073,0.040529531568228104,0.00482009504412763,0.009843856076035303,0.028241683638832314,0.0,0.0016972165648336728,0.0024439918533604886,0.0050916496945010185,0.026205023761031905,1473000,20766
15,Navarra,2017-01-01,0.9117004680187206,0.0109204368174727,0.24758190327613103,0.00546021840873635,0.032137285491419657,0.05803432137285491,0.08798751950078003,0.2469578783151326,0.10062402496099844,0.03946957878315133,0.00374414976599064,0.012948517940717627,0.02106084243369735,0.0,0.0006240249609984399,0.0024960998439937598,0.0028081123244929796,0.038845553822152885,641000,30508
