ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta,Inversión,Tasa pobreza,Médicos especialistas
0,NACIONAL,2018,427721.0,6398.0,112714.0,1946.0,13465.0,22376.0,26279.0,120859.0,53687.0,21689.0,1826.0,5205.0,13941.0,7.0,630.0,843.0,10088.0,15768.0,46729000,25727,1311.9513843258574,21.5,1.98
1,Andalucía,2018,72806.0,1176.0,18261.0,297.0,2268.0,2447.0,4221.0,22706.0,8375.0,4028.0,304.0,882.0,2360.0,1.0,142.0,148.0,2709.0,2481.0,8406000,19107,1169.321523873574,32,1.62
2,Aragón,2018,14100.0,239.0,3610.0,44.0,448.0,723.0,918.0,4292.0,1613.0,754.0,28.0,292.0,499.0,0.0,14.0,26.0,105.0,495.0,1315000,28151,1516.4358576993227,14.2,2.29
3,Asturias,2018,13238.0,215.0,3641.0,52.0,412.0,784.0,669.0,3882.0,1612.0,606.0,52.0,179.0,450.0,0.0,9.0,22.0,153.0,500.0,1024000,22789,1637.2943800456198,14,2.42
4,Baleares,2018,8206.0,159.0,2297.0,34.0,307.0,405.0,568.0,2311.0,869.0,419.0,30.0,88.0,279.0,0.0,14.0,11.0,78.0,337.0,1175000,27682,1357.7167927960973,15.4,1.99
5,Canarias,2018,16310.0,260.0,4516.0,49.0,578.0,722.0,745.0,4648.0,2292.0,822.0,97.0,115.0,507.0,0.0,43.0,39.0,236.0,641.0,2188000,20892,1348.9592158739727,32.1,1.94
6,Cantabria,2018,6096.0,64.0,1707.0,25.0,145.0,550.0,382.0,1590.0,780.0,267.0,17.0,82.0,146.0,0.0,6.0,13.0,129.0,193.0,580000,23757,1470.1726596180245,19.9,1.89
7,Castilla y León,2018,29297.0,401.0,7782.0,164.0,1084.0,1314.0,1563.0,8238.0,3903.0,1574.0,182.0,415.0,1023.0,2.0,23.0,39.0,465.0,1125.0,2410000,24031,1487.310589459165,16.1,2.03
8,Castilla La Mancha,2018,19574.0,224.0,4929.0,115.0,636.0,1030.0,1140.0,5319.0,2836.0,1067.0,115.0,238.0,732.0,0.0,20.0,33.0,434.0,706.0,2030000,20363,1380.9084544633827,29.9,1.9
9,Cataluña,2018,66562.0,1049.0,17656.0,296.0,2262.0,4485.0,4668.0,17335.0,7932.0,3299.0,215.0,1118.0,2097.0,0.0,92.0,131.0,1057.0,2870.0,7516000,30426,1185.2608018689987,13.6,2.06
10,Valencia,2018,45330.0,767.0,11662.0,224.0,1763.0,2027.0,3196.0,13016.0,5529.0,2139.0,186.0,497.0,1568.0,0.0,58.0,74.0,1150.0,1474.0,4948000,22426,1292.0327449192143,26,1.88
11,Extremadura,2018,11451.0,163.0,3089.0,45.0,323.0,559.0,659.0,3300.0,1513.0,561.0,49.0,138.0,387.0,0.0,19.0,24.0,325.0,297.0,1067000,18769,1524.1640725935654,37.6,1.84
12,Galicia,2018,32419.0,352.0,8446.0,160.0,672.0,2518.0,1696.0,9652.0,4242.0,1563.0,150.0,203.0,950.0,2.0,27.0,56.0,561.0,1169.0,2699000,23183,1428.494734104557,18.8,1.92
13,Madrid,2018,46599.0,663.0,12992.0,215.0,1112.0,2209.0,2683.0,11665.0,6916.0,2363.0,216.0,439.0,1535.0,0.0,86.0,100.0,1860.0,1545.0,6586000,35041,1201.699189818367,16.1,2.23
14,Murcia,2018,11327.0,176.0,2802.0,56.0,397.0,455.0,855.0,3214.0,1562.0,599.0,74.0,115.0,497.0,0.0,20.0,30.0,84.0,391.0,1479000,21269,1261.6811328579008,28.6,1.84
15,Navarra,2018,5819.0,63.0,1556.0,31.0,176.0,388.0,543.0,1544.0,677.0,272.0,31.0,73.0,172.0,0.0,8.0,15.0,16.0,254.0,646000,31389,1646.286422951359,8.9,2.53
16,Euskadi,2018,21763.0,311.0,6359.0,113.0,658.0,1525.0,1440.0,5793.0,2328.0,1009.0,56.0,265.0,586.0,1.0,26.0,51.0,507.0,735.0,2172000,33223,1733.6575964084411,8.6,2.3
17,La Rioja,2018,3205.0,48.0,849.0,14.0,110.0,181.0,228.0,985.0,365.0,152.0,15.0,35.0,84.0,0.0,4.0,6.0,26.0,103.0,312000,27225,1238.684816097979,16.6,1.83
0,NACIONAL,2017,424523.0,6819.0,113266.0,1973.0,13296.0,21722.0,26345.0,122465.0,51615.0,20447.0,1691.0,5070.0,13188.0,13.0,629.0,814.0,9333.0,15837.0,46532000,24969,1266.5534667939053,21.6,1.93
1,Andalucía,2017,71234.0,1245.0,18132.0,323.0,2220.0,2325.0,3992.0,22907.0,7851.0,3857.0,264.0,872.0,2233.0,0.0,132.0,163.0,2266.0,2452.0,8402000,18501,1109.0867586137188,31,1.59
2,Aragón,2017,14208.0,187.0,3839.0,40.0,489.0,749.0,897.0,4311.0,1641.0,732.0,21.0,317.0,416.0,1.0,16.0,20.0,55.0,477.0,1315000,27115,1442.5146652077444,13.3,2.21
3,Asturias,2017,13152.0,162.0,3626.0,57.0,347.0,741.0,708.0,3970.0,1579.0,611.0,55.0,182.0,358.0,0.0,14.0,20.0,173.0,549.0,1030000,21981,1586.8988675180826,12.6,2.35
4,Baleares,2017,8353.0,186.0,2306.0,33.0,355.0,376.0,551.0,2391.0,841.0,366.0,45.0,96.0,293.0,0.0,25.0,3.0,109.0,377.0,1158000,27134,1296.8449712624954,21.3,1.99
5,Canarias,2017,15254.0,291.0,4407.0,68.0,576.0,580.0,770.0,4247.0,2010.0,700.0,92.0,112.0,464.0,1.0,32.0,36.0,252.0,616.0,2163000,20457,1261.7278479426654,30.5,1.91
6,Cantabria,2017,5958.0,67.0,1683.0,17.0,95.0,584.0,378.0,1636.0,752.0,218.0,13.0,81.0,150.0,1.0,5.0,11.0,90.0,177.0,580000,22767,1418.6417031829344,17.6,1.83
7,Castilla y León,2017,28979.0,479.0,7744.0,140.0,1035.0,1234.0,1660.0,8473.0,3779.0,1403.0,169.0,373.0,935.0,0.0,32.0,39.0,443.0,1041.0,2423000,23169,1431.0896079301538,15.4,2.03
8,Castilla La Mancha,2017,20208.0,182.0,4947.0,111.0,737.0,1073.0,1196.0,5496.0,3018.0,1110.0,105.0,237.0,712.0,0.0,28.0,40.0,444.0,772.0,2033000,19632,1337.112436971414,28.1,1.88
9,Cataluña,2017,66165.0,1035.0,17551.0,332.0,2361.0,4764.0,5019.0,17465.0,7435.0,3072.0,167.0,978.0,2031.0,4.0,94.0,103.0,917.0,2837.0,7450000,29722,1192.84337151028,15,2.01
10,Valencia,2017,44804.0,810.0,11778.0,215.0,1538.0,1951.0,3155.0,13507.0,4877.0,2043.0,185.0,490.0,1501.0,1.0,64.0,84.0,1128.0,1477.0,4929000,21859,1232.8598074521126,25.6,1.82
11,Extremadura,2017,11585.0,158.0,3043.0,35.0,298.0,452.0,600.0,3433.0,1670.0,597.0,45.0,109.0,451.0,0.0,17.0,9.0,343.0,325.0,1073000,18170,1453.4306491100742,38.8,1.81
12,Galicia,2017,31962.0,433.0,8692.0,187.0,758.0,2292.0,1545.0,9677.0,3978.0,1473.0,141.0,204.0,902.0,0.0,19.0,59.0,444.0,1158.0,2703000,22411,1333.5084060574234,18.7,1.88
13,Madrid,2017,47069.0,836.0,13257.0,203.0,1123.0,2104.0,2775.0,11862.0,7008.0,2206.0,229.0,407.0,1512.0,3.0,82.0,85.0,1789.0,1588.0,6504000,34041,1178.9497139363302,16.9,2.14
14,Murcia,2017,11522.0,172.0,2958.0,45.0,427.0,467.0,796.0,3379.0,1527.0,597.0,71.0,145.0,416.0,0.0,25.0,36.0,75.0,386.0,1473000,20766,1206.2273029381988,30.1,1.79
15,Navarra,2017,5844.0,70.0,1587.0,35.0,206.0,372.0,564.0,1583.0,645.0,253.0,24.0,83.0,135.0,0.0,4.0,16.0,18.0,249.0,641000,30508,1636.1893299934252,8.3,2.6
16,Euskadi,2017,21634.0,382.0,6356.0,101.0,552.0,1420.0,1425.0,5758.0,2345.0,920.0,49.0,312.0,554.0,0.0,21.0,58.0,556.0,825.0,2167000,32167,1670.651862723973,9.7,2.21
17,La Rioja,2017,3052.0,57.0,818.0,14.0,89.0,190.0,207.0,941.0,329.0,131.0,12.0,47.0,70.0,0.0,3.0,7.0,27.0,110.0,312000,26528,1200.0922851531259,9.7,1.81
0,NACIONAL,2016,410611.0,7033.0,112939.0,1886.0,12700.0,20980.0,25236.0,119778.0,46812.0,20096.0,1523.0,4256.0,12173.0,15.0,637.0,846.0,8033.0,15668.0,46449000,23979,1219.7505037978365,22.3,1.9
1,Andalucía,2016,69231.0,1288.0,17636.0,321.0,2157.0,2542.0,4037.0,22237.0,7295.0,3812.0,237.0,789.0,2045.0,2.0,139.0,150.0,2086.0,2458.0,8403000,17659,1050.3346259668574,35.4,1.59
2,Aragón,2016,13481.0,157.0,3843.0,38.0,293.0,799.0,798.0,4225.0,1377.0,717.0,25.0,270.0,414.0,0.0,18.0,29.0,44.0,434.0,1316000,25985,1366.851265498786,15.7,2.18
3,Asturias,2016,13204.0,178.0,3677.0,60.0,384.0,743.0,657.0,4284.0,1452.0,551.0,42.0,159.0,341.0,1.0,6.0,24.0,127.0,518.0,1037000,20920,1463.4531786632083,13.4,2.28
4,Baleares,2016,7939.0,226.0,2219.0,36.0,304.0,397.0,469.0,2293.0,792.0,348.0,30.0,81.0,267.0,0.0,23.0,16.0,98.0,340.0,1143000,26093,1226.048289472641,15.5,1.96
5,Canarias,2016,15035.0,342.0,4368.0,51.0,626.0,560.0,710.0,4242.0,1925.0,698.0,76.0,122.0,444.0,1.0,30.0,37.0,213.0,590.0,2142000,19612,1237.842288038314,35,1.88
6,Cantabria,2016,5936.0,57.0,1820.0,11.0,59.0,622.0,364.0,1586.0,710.0,262.0,9.0,67.0,117.0,0.0,3.0,13.0,37.0,199.0,581000,21905,1383.2662144809303,15.3,1.78
7,Castilla y León,2016,28436.0,518.0,7857.0,133.0,1071.0,1162.0,1583.0,8307.0,3517.0,1463.0,145.0,367.0,848.0,0.0,22.0,46.0,403.0,994.0,2444000,22408,1347.9523144454938,17.7,1.96
8,Castilla La Mancha,2016,19144.0,219.0,4963.0,113.0,668.0,978.0,1098.0,5239.0,2650.0,1030.0,119.0,226.0,659.0,1.0,20.0,32.0,375.0,754.0,2043000,18752,1286.3990726731417,31.7,1.84
9,Cataluña,2016,63289.0,1043.0,17645.0,293.0,2120.0,4346.0,4862.0,16906.0,6611.0,3039.0,170.0,489.0,1830.0,2.0,94.0,108.0,771.0,2960.0,7416000,28680,1141.05604900996,13.2,1.94
10,Valencia,2016,42697.0,828.0,11853.0,220.0,1405.0,1777.0,2879.0,13000.0,4379.0,1928.0,173.0,477.0,1408.0,1.0,69.0,94.0,803.0,1403.0,4927000,20948,1198.0392214902963,24.4,1.82
11,Extremadura,2016,11237.0,166.0,3110.0,42.0,314.0,393.0,545.0,3362.0,1506.0,598.0,39.0,99.0,370.0,0.0,12.0,22.0,336.0,323.0,1081000,17117,1453.7031850679602,30.4,1.82
12,Galicia,2016,31757.0,400.0,8705.0,168.0,837.0,2336.0,1655.0,9971.0,3448.0,1463.0,145.0,168.0,917.0,0.0,39.0,50.0,183.0,1272.0,2713000,21482,1291.6907490969088,19,1.83
13,Madrid,2016,45066.0,904.0,12934.0,197.0,1125.0,1898.0,2609.0,11443.0,6530.0,2086.0,190.0,400.0,1338.0,2.0,88.0,120.0,1699.0,1503.0,6445000,32840,1159.6506878986345,18.2,2.13
14,Murcia,2016,10867.0,172.0,2965.0,46.0,362.0,407.0,729.0,3229.0,1372.0,540.0,40.0,109.0,380.0,1.0,25.0,34.0,81.0,375.0,1468000,19997,1190.8626787791668,28.9,1.76
15,Navarra,2016,5727.0,76.0,1618.0,28.0,213.0,388.0,479.0,1511.0,611.0,278.0,18.0,100.0,130.0,0.0,6.0,13.0,19.0,239.0,638000,29375,1550.5170309622486,9,2.52
