Comunidad Autónoma,ID,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta,Inversión,Tasa pobreza,Médicos especialistas
Andalucía,1.0,0.8122728683412257,0.014386256469810886,0.20648532842111586,0.0030644628430126046,0.025049305715458468,0.025121387167499273,0.04137975912781443,0.2710833241562966,0.08787630021924775,0.04535825482795559,0.0027020533202518847,0.007940973299828806,0.023396437974911647,4.404977624715929e-05,0.0022024888123579646,0.0021213971788120577,0.02512038603622093,0.02894070299438365,8323916.666666667,17555.583333333332,1102.4128933786958,30.833333333333332,1.5266666666666666
Aragón,2.0,1.0262778300407651,0.015070555032925682,0.27867042960175603,0.003888366259015365,0.035252430228911884,0.048541862652869236,0.055246158670429604,0.319046723110693,0.1073126371903418,0.05302602696770147,0.0025148949513954214,0.018896205707118217,0.031226089683286298,5.644402634054563e-05,0.0015365318281592975,0.0018626528692380058,0.020313577924114142,0.03381624333646911,1328750.0,25451.833333333332,1342.2301852930068,14.9,2.1733333333333333
Asturias,3.0,1.2245784081954294,0.016375098502758076,0.3426162332545311,0.004452324665090623,0.03688731284475965,0.06734436564223797,0.06018124507486209,0.3945941686367218,0.13350669818754923,0.05617021276595745,0.003916469661150512,0.0128053585500394,0.03228526398739165,3.152088258471237e-05,0.0013869188337273443,0.0021434200157604416,0.012395587076438142,0.047486209613869186,1057500.0,20995.0,1441.5804334148809,13.616666666666665,2.2
Baleares,4.0,0.7096363773243995,0.014183542874350672,0.19380411051720242,0.003079123691937062,0.02506210946322367,0.031295641044944665,0.04066099525709553,0.21556124369494842,0.07027779869005495,0.03463825942934578,0.002446736430023338,0.0073853798087781366,0.023737107581118723,3.764209892343597e-05,0.001897161785741173,0.0011819619061958894,0.013912519762101934,0.030475043288413755,1106916.6666666667,25131.333333333332,1154.909564833221,18.616666666666664,1.8875
Canarias,5.0,0.6763488455556884,0.013330940702635881,0.19747577461418828,0.0026837340989751567,0.049467639669816967,0.02458428041631774,0.030521992263827413,0.18102245085137775,0.075726761574351,0.030629660645212747,0.0029748375004984644,0.0051880208956414245,0.01891374566335686,2.392630697451848e-05,0.0015831239781473063,0.0019180922757905652,0.011317143198947242,0.028986720899629143,2089750.0,19764.0,1297.6308464731635,30.10833333333333,1.759166666666667
Cantabria,6.0,0.9855450913242008,0.018849885844748858,0.28493150684931506,0.0030964611872146114,0.018065068493150687,0.06438356164383562,0.05002853881278539,0.283162100456621,0.11792237442922374,0.04317922374429224,0.0037100456621004573,0.009075342465753426,0.025028538812785384,2.853881278538813e-05,0.0013698630136986301,0.0014697488584474888,0.023387557077625572,0.037856735159817356,584000.0,21748.0,1338.516239357414,16.466666666666665,1.7658333333333331
Castilla La Mancha,8.0,0.9061908613020623,0.012357460574201375,0.2331176708451274,0.003999191265669228,0.03298422968054994,0.039179134654266076,0.04734735139506672,0.2657420137484836,0.12182773958754549,0.04726647796198949,0.00414476344520825,0.01002426202992317,0.028358269308532143,2.8305701577031948e-05,0.0014152850788515974,0.001750909826122119,0.02117670845127376,0.03547108774767489,2060833.3333333333,18562.833333333332,1281.1389090477564,29.04166666666667,1.8183333333333336
Castilla y León,7.0,1.1200427150770873,0.0199192418073817,0.31496028832677037,0.005102449442701729,0.040222251885470205,0.04154041246746313,0.05551625175198559,0.33808649803110197,0.1333344457051325,0.056070212907962366,0.0050824267503170265,0.014022558900086766,0.033100847627310956,2.669692317960355e-05,0.0011813388506974572,0.0017319628912767805,0.02029299873189615,0.0398518320763532,2497166.6666666665,21848.333333333332,1342.7990502706655,18.675,1.8591666666666666
Cataluña,9.0,0.8370430608055814,0.01469047592341256,0.2313416261931735,0.004217468845692236,0.02785324105750788,0.05047166107702488,0.05700312945161689,0.23421758101241685,0.08867228248067927,0.040391237535472725,0.0019539443428712435,0.007802317364530638,0.023331800388096867,3.252835013964757e-05,0.0014862091012080357,0.0017026908797236212,0.01534104292620551,0.036533823875809,7429416.666666667,27579.916666666668,1195.413117667527,14.375,1.9458333333333335
Euskadi,16.0,0.9361852463423063,0.015702161975346567,0.28381014553972583,0.004039783418455512,0.028013517146038933,0.05484428401367075,0.05747859145194117,0.2616873391958834,0.09069544180331016,0.04388848354517875,0.002346300065281671,0.010068737759686648,0.021569832187704002,1.9200491532583233e-05,0.0013977957835720593,0.0019776506278560728,0.0255827349180139,0.03306324641910833,2170083.3333333335,30129.583333333332,1599.5819648263139,10.883333333333333,2.0241666666666664
Extremadura,11.0,1.0119216945782672,0.016486961841400933,0.2791924753383804,0.0032423338686243023,0.02869924294562973,0.03104687619484591,0.04662384338915653,0.3145140322703984,0.12723866330198058,0.05204557620249292,0.0031123346333256858,0.010514644031505697,0.03150569702531161,1.5294027682190104e-05,0.001743519155769672,0.001881165404909383,0.03697331192169458,0.02708572302515868,1089750.0,16566.583333333332,1403.3936264534277,33.8,1.7500000000000002
Galicia,12.0,1.12002126689959,0.016424122740391917,0.30290748898678416,0.004341485644842777,0.025097979644538963,0.0642928755886374,0.050685097979644544,0.3603797660641045,0.132122132766216,0.05207959896703632,0.0046422603676135495,0.006884399210086587,0.02996809965061522,1.5190642564180467e-05,0.001142336320826371,0.0016041318547774571,0.023973872094789614,0.04346042837612031,2742916.6666666665,20771.416666666668,1296.4022703464411,18.516666666666666,1.8033333333333335
La Rioja,17.0,0.9318193820966464,0.013018220227092687,0.26012674940586217,0.0036968576709796672,0.02696065487193029,0.04357010826511751,0.06902561394243466,0.2941906522313177,0.09107472933720624,0.04515447583839451,0.002270926855030367,0.011354634275151838,0.020491153947715873,7.921837866385002e-05,0.0016635859519408503,0.002033271719038817,0.011381040401373119,0.03572748877739636,315583.3333333333,25212.666666666668,1202.724162408938,17.341666666666665,1.7150000000000005
Madrid,13.0,0.6781494420690375,0.012629054124517675,0.1970565230993847,0.0024481176347898636,0.015336583585358221,0.020895035978725624,0.03295573052455939,0.17935525080821776,0.10038455521952237,0.03248383564500991,0.0023112420481802066,0.004868860152257795,0.021185733653144224,2.2160809260611117e-05,0.0016711857336531443,0.001608614036917301,0.032833194285118356,0.020103764730420276,6392666.666666667,31788.583333333332,1128.4182045170176,15.058333333333335,1.9933333333333332
Murcia,14.0,0.7277078085642317,0.012617357453629494,0.189941607510877,0.002719258071902908,0.02420998397068926,0.023007785665216395,0.043118845889626736,0.2255324021067094,0.09220288527593314,0.03752576139226013,0.002959697732997481,0.005959468742844057,0.02854934737806274,2.8623769177925346e-05,0.002358598580261049,0.0021983054728646665,0.007688344401190749,0.027089535149988547,1455666.6666666667,19435.916666666668,1218.0336743320217,28.849999999999998,1.7241666666666664
NACIONAL,0.0,0.8622562488999995,0.014776461967824317,0.2355649422252873,0.0035841154560377,0.027655715152886583,0.037560208182925124,0.04726894604700279,0.2601754972001623,0.09908515888494983,0.0428341037825645,0.002949617289670952,0.008341684356468362,0.025076775535273647,3.1428581690965454e-05,0.0016822372839958482,0.0018512332575455535,0.021502896817272427,0.03231522687844143,46401500.0,23402.083333333332,1223.9963858138376,21.091666666666665,1.8275
Navarra,15.0,0.854752201919285,0.011568292362297884,0.24372288681477586,0.003549362429341396,0.026896279742342582,0.03993690022347838,0.06263967398448797,0.2421585381885106,0.09780465360851848,0.04356513737347181,0.0034573419219140265,0.011239647692914422,0.021243591428947023,0.0,0.0008939135007230183,0.0021953463914815303,0.007716576837123702,0.03616405941895623,633916.6666666666,28759.916666666668,1479.828493862128,8.533333333333333,2.3975000000000004
Valencia,10.0,0.8454212084510834,0.015066949266585923,0.22785795989772578,0.0038470596151258243,0.028897523886421743,0.03558572197550801,0.05185372089893689,0.26659938097160546,0.08966828152334815,0.04033440990445432,0.0032734490647288385,0.008000269142780245,0.026747745929215444,2.8596420401022746e-05,0.0016232673933521734,0.0017241959359440182,0.016077916834880905,0.028234759790068634,4954000.0,20561.416666666668,1130.3352852346295,23.45,1.696666666666667
